Banner,Banner_ID,Category_ID,Channel,City,City_ID,Commune,Country,Customer,Customer_ID,Customer_Type,Date_of_audit,Division_ID,Field_Execution_Manager,Field_Execution_Manager_ID,Field_Sales_Manager,Field_Sales_Manager_ID,Local_Channel,Local_Channel_ID,Local_Outlet_Name,Local_Product_Category,Local_Product_Market,Local_Subchannel,Local_Subchannel_ID,Market_ID,Outlet_ID,Outlet_classification,PS_Category,Product_Brand_ID,Product_Sub_Brand,Product_Sub_Brand_ID,Product_brand,Product_category,Product_division,Product_market,Product_sector,Province,Record_Id,Region,Rural_Urban,SKU,SKU_ID,Sales_Org,Sales_area,Sales_region,Sales_route,Sales_territory,Sector_ID,Store_Operations_Manager_ID,Store_Operations_Managers,Store_location,Strategic_Price,Subchannel,Top_Customer,Trade_Format,X4P_5P_6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-11-07,1,Manager 1,1,Manager 1,1,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,2,MIX,Gifting,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-11-072,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,2,Manager 2,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-10-07,1,Manager 1,1,Manager 1,1,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,3,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-10-073,North,Rural,SKU 15,15,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,3,Manager 3,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-09-07,1,Manager 2,2,Manager 2,2,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,4,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-09-074,North,Rural,SKU 16,16,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,4,Manager 4,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-08-07,1,Manager 2,2,Manager 2,2,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,5,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-08-075,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,5,Manager 5,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-07-07,1,Manager 2,2,Manager 2,2,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,6,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-07-076,North,Rural,SKU 15,15,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,6,Manager 6,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-06-07,1,Manager 3,3,Manager 3,3,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,7,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-06-077,North,Rural,SKU 16,16,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,7,Manager 7,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-05-07,1,Manager 3,3,Manager 3,3,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,8,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,IC2016-05-078,North,Rural,SKU 17,17,IC,Area 1,Reg 1,Route 1,Territory 1,9,8,Manager 8,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-04-07,1,Manager 3,3,Manager 3,3,Channel 1,1,Outlet 1,Hair,Market 5,Channel 1,1,5,9,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-04-079,North,Rural,SKU 15,15,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,9,Manager 9,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-03-07,1,Manager 4,4,Manager 4,4,Channel 1,1,Outlet 1,Hair,Market 5,Channel 1,1,5,10,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-03-0710,North,Rural,SKU 16,16,IC,Area 1,Reg 1,Route 1,Territory 1,8,10,Manager 10,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-12-07,1,Manager 4,4,Manager 4,4,Channel 1,1,Outlet 1,Hair,Market 5,Channel 1,1,5,11,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-12-0711,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,4,Manager 4,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-11-07,1,Manager 4,4,Manager 4,4,Channel 1,1,Outlet 1,Hair,Market 5,Channel 1,1,5,12,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-11-0712,North,Rural,SKU 15,15,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,5,Manager 5,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-10-07,1,Manager 5,5,Manager 5,5,Channel 1,1,Outlet 1,Hair,Market 5,Channel 1,1,5,13,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-10-0713,North,Rural,SKU 16,16,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,6,Manager 6,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-09-07,1,Manager 5,5,Manager 5,5,Channel 1,1,Outlet 1,Ice Cream,Market 5,Channel 1,1,5,14,MIX,Gifting,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-09-0714,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,7,Manager 7,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-08-07,1,Manager 5,5,Manager 5,5,Channel 1,1,Outlet 1,Ice Cream,Market 5,Channel 1,1,5,15,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-08-0715,North,Rural,SKU 15,15,IC,Area 1,Reg 1,Route 1,Territory 1,8,5,Manager 5,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-07-07,1,Manager 6,6,Manager 6,6,Channel 1,1,Outlet 1,Ice Cream,Market 5,Channel 1,1,5,16,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-07-0716,North,Rural,SKU 16,16,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,6,Manager 6,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-06-07,1,Manager 6,6,Manager 6,6,Channel 1,1,Outlet 1,Ice Cream,Market 5,Channel 1,1,5,17,MIX,Gifting,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-06-0717,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,7,Manager 7,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-05-07,1,Manager 6,6,Manager 6,6,Channel 1,1,Outlet 1,Ice Cream,Market 5,Channel 1,1,5,18,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-05-0718,North,Rural,SKU 15,15,IC,Area 1,Reg 1,Route 1,Territory 1,8,8,Manager 8,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-04-07,1,Manager 7,7,Manager 7,7,Channel 1,1,Outlet 1,Ice Cream,Market 5,Channel 1,1,5,19,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-04-0719,North,Urban,SKU 16,16,IC,Area 1,Reg 1,Route 1,Territory 1,8,9,Manager 9,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-03-07,1,Manager 7,7,Manager 7,7,Channel 1,1,Outlet 1,Ice Cream,Market 5,Channel 1,1,5,20,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-03-0720,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,10,Manager 10,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-12-07,1,Manager 7,7,Manager 7,7,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,21,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-12-0721,North,Rural,SKU 15,15,IC,Area 1,Reg 1,Route 1,Territory 1,8,7,Manager 7,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-11-07,1,Manager 8,8,Manager 8,8,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,22,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-11-0722,North,Rural,SKU 16,16,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,8,Manager 8,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-10-07,1,Manager 8,8,Manager 8,8,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,23,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-10-0723,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,8,Manager 8,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-09-07,1,Manager 8,8,Manager 8,8,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,24,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-09-0724,North,Rural,SKU 15,15,IC,Area 1,Reg 1,Route 1,Territory 1,8,8,Manager 8,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-08-07,1,Manager 1,1,Manager 1,1,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,25,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-08-0725,North,Rural,SKU 16,16,IC,Area 1,Reg 1,Route 1,Territory 1,8,1,Manager 1,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-07-07,1,Manager 1,1,Manager 1,1,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,26,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,IC2016-07-0726,North,Rural,SKU 17,17,IC,Area 1,Reg 1,Route 1,Territory 1,9,1,Manager 1,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-06-07,1,Manager 1,1,Manager 1,1,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,27,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-06-0727,North,Rural,SKU 15,15,IC,Area 1,Reg 1,Route 1,Territory 1,8,1,Manager 1,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-05-07,1,Manager 2,2,Manager 2,2,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,28,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-05-0728,North,Rural,SKU 16,16,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,2,Manager 2,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-04-07,1,Manager 2,2,Manager 2,2,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,29,MIX,Gifting,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,IC2016-04-0729,North,Rural,SKU 17,17,IC,Area 1,Reg 1,Route 1,Territory 1,9,2,Manager 2,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-03-07,1,Manager 2,2,Manager 2,2,Channel 1,1,Outlet 1,Hair,Market 5,Channel 1,1,5,30,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-03-0730,North,Rural,SKU 15,15,IC,Area 1,Reg 1,Route 1,Territory 1,8,2,Manager 2,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-12-07,1,Manager 3,3,Manager 3,3,Channel 1,1,Outlet 1,Hair,Market 5,Channel 1,1,5,31,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-12-0731,North,Rural,SKU 16,16,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,3,Manager 3,Loc 1,0,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-11-07,1,Manager 3,3,Manager 1,1,Channel 1,1,Outlet 1,Hair,Market 5,Channel 1,1,5,32,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,IC2016-11-0732,North,Rural,SKU 17,17,IC,Area 1,Reg 1,Route 1,Territory 1,9,3,Manager 3,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-10-07,1,Manager 3,3,Manager 2,2,Channel 1,1,Outlet 1,Hair,Market 5,Channel 1,1,5,33,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-10-0733,North,Rural,SKU 15,15,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,3,Manager 3,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-09-07,1,Manager 4,4,Manager 3,3,Channel 1,1,Outlet 1,Hair,Market 5,Channel 1,1,5,34,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-09-0734,North,Rural,SKU 16,16,IC,Area 1,Reg 1,Route 1,Territory 1,8,4,Manager 4,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-08-07,1,Manager 4,4,Manager 4,4,Channel 1,1,Outlet 1,Ice Cream,Market 5,Channel 1,1,5,35,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,IC2016-08-0735,North,Rural,SKU 17,17,IC,Area 1,Reg 1,Route 1,Territory 1,9,4,Manager 4,Loc 1,1,Hypermarket,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-07-07,10,Manager 4,4,Manager 5,5,Channel 1,10,Outlet 10,Ice Cream,Market 5,Channel 1,10,5,36,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-07-0736,North,Rural,SKU 15,15,IC,Area 1,Reg 1,Route 1,Territory 1,8,4,Manager 4,Loc 1,0,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-06-07,10,Manager 5,5,Manager 6,6,Channel 1,10,Outlet 10,Ice Cream,Market 5,Channel 1,10,5,37,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-06-0737,North,Rural,SKU 16,16,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,5,Manager 5,Loc 1,0,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-05-07,10,Manager 5,5,Manager 7,7,Channel 1,10,Outlet 10,Ice Cream,Market 5,Channel 1,10,5,38,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-05-0738,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,5,Manager 5,Loc 1,1,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-04-07,10,Manager 5,5,Manager 8,8,Channel 1,10,Outlet 10,Ice Cream,Market 5,Channel 1,10,5,39,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-04-0739,North,Rural,SKU 15,15,IC,Area 1,Reg 1,Route 1,Territory 1,8,5,Manager 5,Loc 1,0,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-03-07,10,Manager 6,6,Manager 9,9,Channel 1,10,Outlet 10,Ice Cream,Market 5,Channel 1,10,5,40,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-03-0740,North,Rural,SKU 16,16,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,6,Manager 6,Loc 1,1,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-12-07,10,Manager 6,6,Manager 10,10,Channel 1,10,Outlet 10,Ice Cream,Market 5,Channel 1,10,5,41,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-12-0741,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,6,Manager 6,Loc 1,1,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-11-07,10,Manager 6,6,Manager 6,6,Channel 1,10,Outlet 10,Skin Care,Market 5,Channel 1,10,5,42,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-11-0742,North,Rural,SKU 15,15,IC,Area 1,Reg 1,Route 1,Territory 1,8,6,Manager 6,Loc 1,1,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-10-07,10,Manager 7,7,Manager 7,7,Channel 1,10,Outlet 10,Skin Care,Market 5,Channel 1,10,5,43,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-10-0743,North,Rural,SKU 16,16,IC,Area 1,Reg 1,Route 1,Territory 1,8,7,Manager 7,Loc 1,1,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-09-07,10,Manager 7,7,Manager 7,7,Channel 1,10,Outlet 10,Skin Care,Market 5,Channel 1,10,5,44,MIX,Gifting,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,IC2016-09-0744,North,Rural,SKU 17,17,IC,Area 1,Reg 1,Route 1,Territory 1,9,7,Manager 7,Loc 1,1,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-08-07,10,Manager 7,7,Manager 7,7,Channel 1,10,Outlet 10,Skin Care,Market 5,Channel 1,10,5,45,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-08-0745,North,Rural,SKU 15,15,IC,Area 1,Reg 1,Route 1,Territory 1,8,7,Manager 7,Loc 1,1,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-07-07,10,Manager 8,8,Manager 8,8,Channel 1,10,Outlet 10,Skin Care,Market 5,Channel 1,10,5,46,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-07-0746,North,Rural,SKU 16,16,IC,Area 1,Reg 1,Route 1,Territory 1,8,8,Manager 8,Loc 1,0,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-06-07,10,Manager 8,8,Manager 8,8,Channel 1,10,Outlet 10,Skin Care,Market 5,Channel 1,10,5,47,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-06-0747,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,8,Manager 8,Loc 1,0,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-05-07,10,Manager 8,8,Manager 8,8,Channel 1,10,Outlet 10,Skin Care,Market 5,Channel 1,10,5,48,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-05-0748,North,Rural,SKU 15,15,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,8,Manager 8,Loc 1,1,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-04-07,10,Manager 1,1,Manager 1,1,Channel 1,10,Outlet 10,Skin Care,Market 5,Channel 1,10,5,49,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-04-0749,North,Rural,SKU 16,16,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,1,Manager 1,Loc 1,1,Discounters,Yes,MT,6P
Banner 10,10,10,Discounters,City 1,1,Commune 1,Indonesia,Customer 10,10,Key Customer,2016-03-07,10,Manager 1,1,Manager 1,1,Channel 1,10,Outlet 10,Skin Care,Market 5,Channel 1,10,5,50,MIX,Gifting,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-03-0750,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,1,Manager 1,Loc 1,0,Discounters,Yes,MT,6P
